,text
1336,"                          ^^      Funny you should mention it...this is exactly the case I was going to make.I will grant that a star like Mario will draw fans, even if the team sucks. But this is short term only; I still do not think the attendance increase will last, unless the team is a winning/competitive/improving/butt-kickingone.  Pittsburgh was still getting better, so people continued to supportthem.  If they suddenly dropped to, say, 50 points, you'd have knee surgeryfor some of the people jumping off the bandwagon.  Ok.  My numbers came from the NHL Guide and Record Book. You can give the credit to Mario since he deserves it.  But my point is thatit wasn't Mario himself, but it was the *expectation* of things to come (i.e.a winning team) that he created by being the next great hockey superstar. Andbefore anybody jumps in and says I'm nit-picking and mincing words, go backand read from where this thread started...It might help to think about what would go through a fan's mind who suddenlyfound an interest in Mario and the Pens.  Was it ""gee, Mario Lemieux isamazing, I'll go watch him play"", or was it ""gee, now we've got a *kick**ass* guy on *our* side, I'll go watch him play"".  I think it was the latter.I don't think this is accurate.  The *tickets* sell, but people don't go tothe games.  I think this thread has already been discussed...season ticketholders in LA don't always use their tickets.  So in effect, after the Kingsinitial success following Gretzky's arrival (68 to 91 points, same source)and corresponding attendance jump, there has been an effective drop inattendance even though ticket sales may not have changed much.  Whether or not the Kings are a 'winner' is debatable.  I claim that sinceGretzky's arrival they have at the very least been competitive...I also claimthat McNall has made a stupid move in trying to reassemble the Oilerdynasty...but that's another story and included only because I don't likeMcNall:-).  Anyway,  McNall did do some heavy marketing around Gretzky, andthat undoubtedly was also responsible for the attendance and merchandisingsales, etc.  But as I said, when the Kings have been in there littletailspins over the past couple of years there have been empty seats at theForum even if the tickets were sold.For the short term, IMO.  Although I think that it's inevitable that the teamwill improve with a player such as Lemieux or Gretzky, simply because theymake people around them better.Well, at least we are in full agreement here!So are you saying Roger has ever had a valid point? <couldn't resist...>Yes, but they are doing no worse than last year.  I think the same type ofreasoning I applied to a new Pittsburgh fan applies to all the extra peopleshowing up at Winnipeg games.  It's difficult to predict, but do you thinkthat if the Jets miss the playoffs next season that in the year after theywill maintain their attendance levels?  I seriously doubt it, because in thatcase the expectation of an improving team would be gone, with or withoutSelanne."
1338,"Wow! A 68070! I'd be very interested to get my hands on one of these,especially considering the fact that Motorola has not yet released the68060, which is supposedly the next in the 680x0 lineup. 8-D"
1339,"In the interests of saving badnwidth during this ""heated"" time of theyear (viz. the early flurry of ""retard"" comments coming from a certainstate whose name starts with P and ends with A), why don't you tell ussomething we don't already know?George"
1340,"Sorry to waste the bandwidth. Does anyone know a software mail order company called ""Software Unlimited""? I ordered a software from them and they charged mycredit card but never did send the package to me.I call them many times but nobody answer the phone. I also check ComputerShoppers and found they don't advertise anymore. If you know if they are stillin business or you know how to contact them, please tell me.Thank you very much."
1341,"I don't think so at first,  but solid state offered  better reliabity,id bet,  and any lower costs would be only after the processes really scaled up."
1344,I hear Daigle will eb the first pick next year. What is the word on Kariya???Anybody ever seen him play on TV???? Is he also entering the draft???
1345,"A brilliant algorithm.  *NOT*Seriously - it's correct, up to a sign change.  The flaw is obvious, andwill therefore not be shown.sorry about that."
1346,"[Much text deleted]:   plus/minus ... it is the most misleading hockey stat available.Not necessarily the most misleading, but you are right, it definitelyneeds to be taken in the proper perspective. A shining example isif you look at the Penguins individual +/-, you will find very few minuses.That only makes common sense, since they didn't lose many games.:   Until the NHL publishes a more useful quantifiable statistic including ice:   time per game and some measure of its ""quality"" (i.e., is the player put out:   in key situations like protecting a lead late in the game; is he matched up:   against the other team's top one or two lines; short-handed, etc), I would:   much rather see the +/- disappear altogether instead of having its dubious:   merits trumpeted by those with little understanding of its implications.Unfortunately, you will need to keep a ridiculous number of stats toreally come up with a statistic which really shows a player's value.Let's just enjoy the game and not overanalyze it. (like I'm doing now,excuse me!)"
1347,"I don't know a whole lot on Proton, but given that it is a multi stagerocket,  up to 4 stages, it may not really need the Centaur,  plusit may end up seriously beating on said centaur.   Also, the centaur is not small,  unless the Proton has an oversizeshroud you may not be able to get the centaur in under it.Dennis,  you know much about this?"
1351,"A brief political/cultural item.Radio station WGMS in Washington is a classical music station witha large audience among high officials (elected and otherwise).  Imagine a radio station that advertises Mercedes Benzes, diamondjewelry, expensive resorts and (truthfully) Trident submarines.This morning I heard a commercial for the space station project.Didn't catch the advertiser.Guess they're pulling out all the stops."
1354,"Does anyone know of software that will allowyou to convert CorelDraw (.CDR) filescontaining bitmaps to SCODAL, as this is theonly format our bureau's filmrecorder recognises."
1355,"From another space forum    When workers at the Kennedy Space Center disassembled the STS-56 solid rocket boosters they were surprised to find a pair of pliers lodged into the outside base of the right hand SRB.  The tool survived the trip from the launch pad up to approximately a 250,000 foot altitude, then down to splashdown and towing back to KSC.    NASA spokesperson Lisa Malone told the media,    ""It's been a long time since something like this happened.  We've lost washers and bolts (before) but never a tool like this.""    The initial investigation into the incident has shown that a Thiokol Corp. technician noticed and reported his pliers as missing on April 2nd.  Unfortunately, the worker's supervisor did not act on the report and Discovery was launched with its ""extra payload"".  NASA officials were never told of the missing tool before the April 8th launch date.    The free-flying pliers were supposed to be tethered to the SRB technician.  When the tool was found in an aft section of the booster, its 18-inch long rope was still attached.  The pliers were found in a part of the booster which is not easily visible from the launch pad.    A spokesperson for the Lockheed Space Operations Company said that the Shuttle processor will take ""appropriate action"".  Thiokol is a subcontractor to LSOC for work to prepare Shuttle hardware for launch._________________________________________________________Karl Anderson	DEV/2000: Configuration Management/Version ControlDept 53K/006-2		Rochester, Minnesota 55901253-8044		Tie 8-453-8044INTERNET: karl@vnet.ibm.comPRODIGY: CMMG96A"
